rounded_price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,state,odometer_range
12000,2007,others,solstice,like new,4,gas,manual,rwd,convertible,mo,20k-50k
30000,2014,chevrolet,silverado 1500 double,good,8,gas,other,4wd,pickup,tn,20k-50k
31000,2017,jeep,wrangler unlimited sport,good,6,gas,other,4wd,SUV,wi,20k-50k
18000,2007,ford,hummer h2,like new,8,gas,automatic,4wd,SUV,mn,50k-100k
6000,2014,volkswagen,jetta se,new,4,gas,manual,fwd,sedan,ct,150k-200k
6000,2002,nissan,xterra se,like new,6,gas,automatic,4wd,SUV,va,50k-100k
31000,2015,ram,1500 laramie,good,5,gas,automatic,4wd,sedan,nc,0-20k
18000,2021,gmc,sierra,good,5,gas,automatic,4wd,pickup,tn,0-20k
18000,2008,others,lucerne,good,5,gas,automatic,4wd,sedan,nj,150k-200k
29000,2016,subaru,wrx sti sedan 4d,good,5,other,other,4wd,sedan,tx,50k-100k
15000,2015,nissan,rogue,good,4,gas,automatic,4wd,SUV,nj,50k-100k
9000,2013,kia,optima,excellent,4,gas,automatic,4wd,sedan,tn,100k-150k
20000,2018,nissan,rogue awd sv,good,5,gas,automatic,4wd,SUV,nj,20k-50k
4000,1989,chevrolet,suburban,good,8,gas,automatic,fwd,SUV,ca,20k-50k
16000,2018,toyota,yaris ia sedan 4d,good,5,other,other,4wd,sedan,nv,20k-50k
12000,2014,others,encore,excellent,6,gas,automatic,4wd,SUV,ct,50k-100k
23000,2015,bmw,3 series 328d xdrive sport,good,5,diesel,other,4wd,wagon,ca,50k-100k
13000,2010,acura,mdx awd tech pkg,excellent,6,gas,automatic,4wd,SUV,fl,100k-150k
4000,2011,nissan,altima,excellent,4,gas,automatic,fwd,sedan,nj,150k-200k
8000,2006,volkswagen,jetta,good,4,diesel,automatic,fwd,sedan,co,200k-300k
21000,2018,volkswagen,tiguan 2.0t s 4motion,good,5,gas,other,4wd,other,tx,20k-50k
20000,2013,ford,f-250,good,8,diesel,automatic,4wd,sedan,wv,150k-200k
5000,2011,subaru,forester ltd,excellent,4,gas,automatic,4wd,SUV,ma,150k-200k
18000,2018,nissan,pathfinder,excellent,5,gas,automatic,4wd,other,ny,20k-50k
21000,2018,gmc,terrain,good,5,gas,automatic,fwd,SUV,ia,20k-50k
30000,2016,chevrolet,tahoe,good,5,gas,automatic,fwd,SUV,ca,50k-100k
16000,2013,volkswagen,gti,good,4,gas,other,fwd,sedan,hi,50k-100k
18000,2020,gmc,yukon xl denali,good,8,gas,automatic,4wd,SUV,mn,0-20k
12000,1997,toyota,land cruiser,good,5,gas,automatic,4wd,sedan,hi,150k-200k
4000,1984,chevrolet,camaro z28,good,5,gas,automatic,4wd,sedan,co,20k-50k
27000,2020,ford,fusion,good,4,gas,automatic,4wd,sedan,ak,20k-50k
7000,2008,bmw,x5,excellent,6,gas,automatic,4wd,SUV,pa,200k-300k
18000,2014,volkswagen,passat,excellent,4,gas,automatic,fwd,sedan,ma,20k-50k
7000,2011,chevrolet,malibu,good,5,gas,automatic,fwd,sedan,ia,100k-150k
37000,2018,acura,mdx advance and,good,5,other,automatic,fwd,SUV,ar,0-20k
36000,1965,chevrolet,chevelle malibu,excellent,8,gas,automatic,rwd,coupe,sc,20k-50k
20000,2017,kia,optima hybrid,good,4,hybrid,automatic,fwd,sedan,tx,20k-50k
49000,2018,gmc,sierra 1500,good,8,gas,automatic,4wd,truck,fl,20k-50k
25000,2018,others,mkz select sedan 4d,good,5,gas,automatic,fwd,sedan,ar,0-20k
34000,2013,lexus,ls 460 sedan 4d,good,8,gas,other,rwd,sedan,va,20k-50k
29000,2020,chevrolet,blazer,good,5,gas,automatic,fwd,sedan,tn,0-20k
18000,2009,kia,optima lx,good,5,gas,automatic,4wd,sedan,wi,150k-200k
18000,2012,ford,f-450 super duty,good,5,gas,automatic,4wd,other,fl,100k-150k
47000,2018,bmw,4 series 440i convertible 2d,good,5,gas,other,rwd,convertible,oh,0-20k
8000,2006,bmw,330 ci convertible,good,5,gas,automatic,4wd,sedan,ks,50k-100k
34000,2018,ford,f150 supercrew cab xl,good,5,other,other,4wd,pickup,tn,20k-50k
3000,2010,kia,soul,excellent,4,gas,manual,fwd,hatchback,mi,200k-300k
8000,2010,subaru,forester,excellent,5,gas,automatic,4wd,SUV,sc,100k-150k
6000,2010,ford,focus sesedan,good,4,gas,automatic,4wd,sedan,pa,100k-150k
4000,2009,chevrolet,impala lt,good,5,gas,automatic,4wd,sedan,ny,100k-150k
19000,2018,honda,civic lx,good,5,gas,automatic,fwd,sedan,ca,20k-50k
18000,2017,nissan,altima,good,5,gas,automatic,fwd,sedan,ca,50k-100k
18000,2017,others,488 gtb,good,5,gas,automatic,4wd,sedan,il,0-20k
6000,2008,chrysler,300 touring,excellent,5,gas,automatic,rwd,sedan,mo,150k-200k
5000,2009,toyota,corolla,good,4,gas,automatic,fwd,sedan,nj,150k-200k
21000,2013,chevrolet,silverado 1500,good,5,gas,automatic,4wd,other,ca,100k-150k
14000,2013,bmw,7 series m sport package,good,5,gas,automatic,4wd,sedan,nj,100k-150k
18000,2011,chevrolet,suburban,good,5,other,automatic,rwd,SUV,fl,150k-200k
35000,2017,chevrolet,silverado 1500,good,5,other,automatic,4wd,sedan,ia,50k-100k
18000,1969,ford,1969 F250,excellent,8,gas,automatic,rwd,pickup,co,50k-100k
36000,2020,lexus,nx 300 f sport suv 4d,good,5,gas,other,fwd,hatchback,co,0-20k
3000,2003,chevrolet,tahoe,good,5,gas,automatic,4wd,sedan,sc,200k-300k
24000,2012,mercedes-benz,cls,good,8,gas,automatic,rwd,sedan,az,50k-100k
6000,2006,ford,Scion xB,good,4,gas,automatic,fwd,SUV,mt,100k-150k
28000,2015,chevrolet,silverado 1500,excellent,8,gas,automatic,4wd,pickup,mn,100k-150k
7000,2008,dodge,grand caravan sxt,excellent,6,gas,automatic,fwd,mini-van,ny,50k-100k
16000,2014,ford,e-350,good,5,other,automatic,fwd,van,fl,100k-150k
18000,2001,chevrolet,corvette,excellent,8,gas,automatic,rwd,coupe,tn,50k-100k
17000,2010,others,town car signature,good,5,other,other,rwd,sedan,nm,20k-50k
19000,2014,ford,f-250 super duty,excellent,5,gas,automatic,4wd,pickup,ma,150k-200k
10000,1997,chevrolet,corvette convertible,good,8,gas,automatic,4wd,convertible,va,50k-100k
22000,2015,lexus,es 350,good,6,gas,automatic,fwd,sedan,co,50k-100k
6000,2009,cadillac,sts,good,5,gas,automatic,4wd,sedan,oh,100k-150k
8000,2015,hyundai,sonata,excellent,4,gas,automatic,4wd,sedan,ca,100k-150k
14000,2005,ford,explorer xls,good,6,gas,automatic,rwd,SUV,fl,50k-100k
8000,2015,others,lancer,good,4,gas,automatic,fwd,sedan,ny,50k-100k
18000,2013,ford,Other,good,5,other,other,4wd,other,wi,0-20k
10000,2012,ford,f150 xlt,like new,8,gas,automatic,4wd,pickup,oh,0-20k
24000,2015,bmw,x5 xdrive35i,good,5,other,automatic,4wd,other,ma,50k-100k
18000,2020,ram,1500 laramie 4x4 gas,good,5,gas,automatic,4wd,truck,mt,0-20k
4000,2008,others,s40,good,4,gas,automatic,fwd,sedan,pa,50k-100k
22000,2017,others,envision essence sport,good,5,other,other,4wd,SUV,pa,20k-50k
20000,2013,audi,a8 4.0t quattro dealer serviced since new with all records*97k msrp* sport-conv-comfort-cold weather-camera assistance-led headlights and much more*no accidents*non smoker previous owner,good,8,gas,other,4wd,sedan,co,100k-150k
11000,2014,chevrolet,equinox lt,good,5,gas,automatic,4wd,sedan,ma,100k-150k
8000,2001,toyota,pre runner,excellent,6,gas,automatic,rwd,truck,ca,200k-300k
18000,1995,ford,f-150,good,5,gas,automatic,4wd,sedan,wi,100k-150k
27000,2016,lexus,is 350,good,6,gas,automatic,rwd,sedan,tx,50k-100k
35000,2020,cadillac,ct5 luxury sedan 4d,good,5,gas,other,rwd,sedan,il,0-20k
5000,2009,nissan,murano,good,6,gas,automatic,4wd,SUV,nj,100k-150k
3000,2007,honda,fit,fair,4,gas,manual,fwd,hatchback,pa,100k-150k
22000,2016,cadillac,srx,good,6,gas,automatic,fwd,SUV,ne,50k-100k
18000,2005,dodge,caravan,good,5,gas,automatic,4wd,sedan,nj,100k-150k
9000,2014,chevrolet,malibu,good,5,gas,automatic,4wd,sedan,ny,100k-150k
4000,2006,others,mountaineer,good,6,gas,other,4wd,SUV,md,100k-150k
20000,1985,ford,Mustang GT Convertible,like new,8,gas,automatic,rwd,convertible,nc,50k-100k
25000,2017,others,romeo giulia sedan 4d,good,5,gas,other,4wd,sedan,in,50k-100k
16000,2018,others,outlander sport le,good,5,gas,other,4wd,hatchback,ny,50k-100k
18000,2005,volkswagen,jetta,good,4,gas,automatic,fwd,sedan,pa,100k-150k
3000,2006,hyundai,sorento,excellent,6,gas,automatic,fwd,sedan,va,150k-200k
14000,1999,ford,WPOAA2993XS620614,good,6,gas,manual,4wd,coupe,ca,50k-100k
18000,2004,others,s60,fair,5,gas,automatic,fwd,sedan,ca,200k-300k
45000,2017,ford,2017 MASERATI LEVANTE,excellent,6,gas,automatic,4wd,SUV,hi,20k-50k
10000,2015,nissan,altima,excellent,4,gas,automatic,fwd,sedan,va,100k-150k
20000,2013,honda,accord ex-l sedan 4d,good,5,gas,other,fwd,sedan,tx,20k-50k
18000,2013,hyundai,santa fe sport utility,good,5,other,automatic,4wd,other,ca,20k-50k
15000,2018,hyundai,sonata,good,4,gas,automatic,fwd,sedan,tn,50k-100k
18000,2018,toyota,camry,good,5,gas,automatic,fwd,sedan,ca,20k-50k
18000,1995,ford,saab 900 s,excellent,4,gas,automatic,fwd,sedan,pa,100k-150k
25000,2011,ram,1500 4x4,good,5,gas,automatic,4wd,sedan,ak,50k-100k
10000,1996,ford,mustang gt convertible,excellent,8,gas,manual,rwd,convertible,pa,100k-150k
22000,2013,toyota,tacoma access cab,good,5,other,other,4wd,pickup,tx,50k-100k
4000,2011,others,5,good,4,gas,automatic,fwd,hatchback,ga,150k-200k
30000,2015,ford,super duty f-250 srw,good,8,diesel,automatic,4wd,sedan,oh,150k-200k
16000,2015,chrysler,200 limited sedan 4d,good,5,gas,other,fwd,sedan,ny,20k-50k
18000,2006,ford,2006 saab 92x,fair,4,gas,manual,4wd,wagon,ca,150k-200k
31000,2020,ford,mustang ecoboost,good,5,other,other,rwd,other,az,20k-50k
14000,2017,cadillac,ats,good,4,gas,automatic,4wd,sedan,wi,0-20k
22000,2016,dodge,charger,good,5,gas,automatic,rwd,sedan,tn,50k-100k
18000,2015,chevrolet,f-150,good,8,other,automatic,fwd,other,nv,0-20k
16000,2018,nissan,nv1500 cargo van,excellent,6,gas,automatic,4wd,sedan,md,50k-100k
18000,2019,toyota,corolla le,good,5,other,automatic,fwd,hatchback,ar,20k-50k
18000,2014,nissan,rogue,good,4,gas,automatic,4wd,SUV,ma,50k-100k
4000,2009,chevrolet,impala,excellent,6,gas,automatic,fwd,sedan,tn,0-20k
4000,2004,others,xc90,excellent,5,gas,automatic,4wd,sedan,or,200k-300k
28000,2017,subaru,outback,good,5,gas,automatic,4wd,sedan,ca,20k-50k
11000,2013,bmw,x3,excellent,5,gas,automatic,4wd,SUV,va,50k-100k
18000,2007,audi,a4,good,4,gas,automatic,4wd,sedan,ct,150k-200k
28000,2015,chrysler,town and country tourin,good,5,gas,automatic,4wd,sedan,al,20k-50k
3000,1993,chevrolet,silverado 1500,good,8,gas,automatic,4wd,sedan,co,200k-300k
30000,1965,chevrolet,nova,like new,8,gas,automatic,rwd,sedan,fl,0-20k
6000,2007,chevrolet,impala,good,6,gas,automatic,fwd,sedan,ak,150k-200k
13000,2015,ram,1500,excellent,8,gas,automatic,4wd,pickup,fl,100k-150k
18000,2015,chevrolet,silverado 2500 lt,like new,5,gas,automatic,4wd,sedan,fl,200k-300k
40000,2012,ford,f350 super duty lariat 4x4,excellent,8,diesel,automatic,4wd,truck,ca,100k-150k
10000,2011,gmc,yukon,good,8,gas,automatic,4wd,SUV,ca,150k-200k
22000,2018,cadillac,xts luxury,good,5,gas,automatic,4wd,sedan,ks,50k-100k
30000,2011,ford,f250 super duty 4x4 lariat,excellent,8,diesel,automatic,4wd,pickup,tx,150k-200k
8000,2001,ram,1500,good,8,gas,automatic,4wd,truck,fl,50k-100k
18000,2018,kia,optima,good,5,hybrid,automatic,fwd,sedan,ca,20k-50k
3000,2007,jeep,compass,good,4,gas,automatic,fwd,SUV,nj,100k-150k
4000,2004,jeep,grand cherokee,fair,6,gas,automatic,4wd,sedan,mi,200k-300k
39000,2018,lexus,rx 350 sport utility 4d,good,6,gas,other,fwd,other,az,0-20k
24000,2015,ram,1500 4x4,good,5,gas,automatic,4wd,sedan,wi,100k-150k
36000,2012,ram,3500 slt,good,5,diesel,automatic,4wd,sedan,sc,200k-300k
38000,2020,jeep,gladiator sport pickup 4d 5,good,6,gas,other,4wd,pickup,md,20k-50k
40000,2016,ford,Blue Bird All American,good,6,diesel,automatic,rwd,bus,ny,50k-100k
17000,2019,hyundai,tucson,good,5,gas,automatic,4wd,SUV,mn,20k-50k
4000,2002,honda,cr-v,excellent,4,gas,automatic,4wd,sedan,ny,150k-200k
12000,1999,dodge,3500,good,5,diesel,manual,4wd,sedan,wa,400k-500k
30000,2016,others,f-pace,good,5,gas,automatic,4wd,sedan,mi,50k-100k
32000,2006,ram,2500,excellent,5,diesel,manual,4wd,pickup,ca,150k-200k
18000,2018,mercedes-benz,s-class,good,5,gas,automatic,rwd,sedan,tn,20k-50k
6000,2015,volkswagen,tiguan,excellent,4,gas,automatic,4wd,sedan,nv,50k-100k
8000,2008,audi,tt premium,excellent,4,gas,automatic,fwd,convertible,or,50k-100k
25000,2005,toyota,"tundra sr5 4dr 1-oregon owner*0-rust*never off road*new timing belt&water pump*new bilstein-toytec lift*new 33"" yokohama geolanders*new oem 17""toyota wheels*leer canopy",good,8,gas,automatic,4wd,pickup,co,100k-150k
8000,2008,toyota,tacoma,good,5,gas,automatic,4wd,truck,tx,200k-300k
29000,2019,nissan,frontier crew cab sv,good,5,other,other,fwd,pickup,az,20k-50k
18000,2007,others,3,good,4,gas,automatic,fwd,hatchback,fl,100k-150k
8000,2011,ford,explorer,excellent,6,gas,automatic,4wd,sedan,mn,150k-200k
30000,2019,hyundai,santa fe,good,5,gas,automatic,fwd,sedan,tx,0-20k
19000,2017,honda,civic,good,4,gas,automatic,fwd,sedan,oh,20k-50k
33000,2018,bmw,x5 xdrive35i,good,6,gas,other,4wd,SUV,ny,50k-100k
26000,2020,chevrolet,camaro lt coupe 2d,good,6,gas,other,rwd,coupe,pa,20k-50k
39000,2020,cadillac,xt5 premium luxury,good,6,gas,other,fwd,SUV,ga,0-20k
21000,2014,bmw,x5 sdrive35i,good,6,gas,automatic,rwd,SUV,ca,50k-100k
53000,2019,toyota,tundra,good,5,gas,automatic,4wd,pickup,hi,0-20k
32000,2020,kia,stinger gt-line sedan 4d,good,5,gas,other,4wd,sedan,ca,0-20k
27000,2018,nissan,frontier crew cab sv,good,6,gas,other,fwd,pickup,mi,20k-50k
5000,2005,toyota,corolla,good,5,gas,automatic,4wd,sedan,oh,150k-200k
10000,2005,honda,cr-v,good,5,gas,automatic,4wd,sedan,id,100k-150k
7000,2007,honda,accord,excellent,4,gas,automatic,fwd,sedan,ky,100k-150k
14000,2005,gmc,yukon xl,excellent,8,gas,automatic,4wd,SUV,mi,50k-100k
53000,2018,ford,f250,good,5,diesel,automatic,4wd,sedan,va,100k-150k
29000,2018,others,mkx select sport utility,good,6,gas,other,4wd,SUV,va,20k-50k
8000,1996,ram,1500,excellent,8,gas,automatic,4wd,truck,ia,200k-300k
22000,2017,others,cx-5,good,4,gas,automatic,4wd,SUV,or,20k-50k
14000,2009,mercedes-benz,s-class,excellent,5,gas,automatic,rwd,sedan,ca,100k-150k
20000,2013,toyota,highlander limited,excellent,6,gas,automatic,4wd,SUV,nm,100k-150k
34000,2013,cadillac,f-150,like new,8,gas,automatic,4wd,sedan,oh,50k-100k
19000,2018,others,encore,good,4,gas,automatic,4wd,sedan,pa,20k-50k
9000,2003,chevrolet,2500hd,excellent,8,gas,automatic,4wd,pickup,nj,100k-150k
18000,2004,chrysler,pt cruiser,good,5,gas,automatic,4wd,sedan,tx,100k-150k
25000,2016,ram,3500,excellent,6,diesel,manual,4wd,pickup,tx,200k-300k
8000,2010,subaru,legacy 2.5i limited,good,4,gas,automatic,4wd,sedan,pa,150k-200k
7000,2010,chevrolet,equinox,excellent,4,gas,automatic,fwd,SUV,fl,100k-150k
15000,2016,ram,4500,good,5,diesel,automatic,4wd,sedan,pa,300k-400k
28000,2011,ford,f-250 crew cab xlt 4x4,good,8,diesel,automatic,4wd,pickup,md,100k-150k
22000,2014,mercedes-benz,cla-class cla 250,good,5,other,other,4wd,coupe,fl,20k-50k
19000,1965,ford,mustang,good,5,gas,automatic,4wd,sedan,nm,50k-100k
23000,2013,audi,a8,good,5,gas,automatic,4wd,sedan,nc,100k-150k
40000,2009,ford,INTERNATIONAL 7400,excellent,6,diesel,automatic,4wd,truck,sd,200k-300k
28000,1995,ford,E320 Cabriolet,excellent,6,gas,automatic,rwd,convertible,or,50k-100k
28000,2008,ford,mustang,like new,8,gas,manual,rwd,coupe,in,0-20k
18000,2017,mercedes-benz,gla,good,5,gas,automatic,fwd,SUV,tx,50k-100k
16000,2014,mercedes-benz,cla-class,excellent,5,gas,automatic,fwd,sedan,tn,50k-100k
27000,2017,ford,explorer,good,5,gas,automatic,fwd,SUV,tx,20k-50k
4000,2005,toyota,avalon,good,5,gas,automatic,4wd,sedan,pa,150k-200k
21000,2018,nissan,nv200,good,5,gas,automatic,fwd,van,tx,0-20k
8000,2008,bmw,750i / alpina b7,good,5,gas,automatic,4wd,sedan,fl,50k-100k
18000,2017,chrysler,pacifica,good,6,other,automatic,fwd,SUV,mi,20k-50k
18000,2018,toyota,corolla le sedan 4d,good,5,gas,other,fwd,sedan,tx,0-20k
33000,2020,toyota,rav4 hybrid xle sport,good,5,hybrid,other,4wd,other,nv,0-20k
25000,2005,ford,Maserati Quattroporte,good,8,gas,automatic,rwd,sedan,nv,20k-50k
18000,2008,hyundai,sonata,fair,4,gas,automatic,fwd,sedan,ky,150k-200k
37000,2020,cadillac,ct5 premium luxury,good,5,gas,other,4wd,sedan,ky,0-20k
43000,2018,chevrolet,traverse,excellent,6,gas,automatic,4wd,SUV,or,0-20k
30000,2015,ford,International 4300,excellent,6,diesel,automatic,rwd,truck,ri,150k-200k
18000,2010,toyota,tacoma,excellent,6,gas,automatic,4wd,pickup,co,200k-300k
4000,2003,mercedes-benz,benz e320,good,6,gas,automatic,rwd,sedan,pa,150k-200k
5000,2007,others,vue,good,5,other,automatic,fwd,SUV,ok,50k-100k
18000,2014,chevrolet,camaro,good,5,gas,automatic,rwd,coupe,fl,50k-100k
34000,2019,ford,ranger supercrew xlt pickup,good,5,gas,other,4wd,pickup,ny,0-20k
23000,2012,mercedes-benz,sprinter,excellent,5,diesel,automatic,4wd,sedan,hi,50k-100k
28000,2018,acura,rdx technology pkg sport,good,6,gas,other,4wd,other,il,20k-50k
9000,2017,ford,focus se,excellent,4,gas,automatic,fwd,sedan,ks,20k-50k
33000,2014,jeep,wrangler,good,6,gas,automatic,4wd,sedan,mn,20k-50k
4000,2003,chevrolet,malibu,like new,6,gas,automatic,fwd,sedan,fl,20k-50k
20000,2017,others,envision premium ii,good,5,gas,other,4wd,other,ut,50k-100k
7000,2003,toyota,4-runner,good,5,gas,automatic,fwd,wagon,ca,200k-300k
6000,2006,mercedes-benz,benz,excellent,6,gas,automatic,4wd,SUV,nc,150k-200k
6000,2014,chevrolet,cruze,good,4,gas,automatic,fwd,sedan,mi,100k-150k
18000,2004,ford,f250,like new,8,diesel,automatic,rwd,pickup,ks,50k-100k
18000,1961,ford,f100,good,6,gas,manual,rwd,truck,ky,50k-100k
27000,2017,chevrolet,silverado 1500 lt,like new,8,gas,automatic,rwd,truck,fl,50k-100k
10000,2015,jeep,patriot,good,4,gas,automatic,4wd,SUV,ia,50k-100k
28000,2016,chevrolet,colorado,excellent,6,gas,automatic,4wd,truck,nc,50k-100k
4000,2004,honda,accord,good,5,gas,automatic,4wd,sedan,ga,150k-200k
17000,2012,chevrolet,colorado,good,4,gas,automatic,rwd,truck,wa,0-20k
16000,2006,mercedes-benz,benz cls55 amg,excellent,8,gas,automatic,rwd,sedan,ca,100k-150k
11000,2014,ford,fusion,good,4,gas,automatic,4wd,sedan,fl,100k-150k
21000,2013,chevrolet,silverado 1500 regular,good,6,gas,other,4wd,pickup,va,20k-50k
6000,2009,toyota,corolla le,excellent,4,gas,automatic,fwd,sedan,ca,100k-150k
8000,2016,nissan,versa,excellent,4,gas,automatic,fwd,sedan,tn,50k-100k
4000,2007,honda,civic,good,5,gas,automatic,fwd,sedan,nc,100k-150k
13000,2010,acura,mdx sh-awd w/tech,good,5,gas,automatic,4wd,SUV,mi,100k-150k
6000,1999,toyota,rav4 awd 5 speed,excellent,4,gas,manual,4wd,SUV,ct,150k-200k
17000,2012,bmw,535i,good,5,gas,automatic,4wd,sedan,nv,50k-100k
10000,2013,acura,ilx,excellent,5,gas,automatic,4wd,sedan,al,50k-100k
9000,2006,others,raiders,excellent,6,gas,automatic,rwd,truck,ca,0-20k
5000,2007,bmw,328xi,excellent,6,gas,automatic,4wd,sedan,ri,100k-150k
9000,2011,dodge,grand caravan crew,good,6,other,automatic,fwd,van,or,100k-150k
18000,2003,honda,civic ex,good,4,gas,automatic,fwd,sedan,wa,150k-200k
28000,2018,jeep,grand cherokee,good,6,gas,automatic,rwd,SUV,tx,20k-50k
35000,2016,mercedes-benz,cls-class cls 400,good,6,gas,automatic,4wd,coupe,tn,20k-50k
18000,1930,ford,roadster,good,4,gas,manual,rwd,convertible,nh,20k-50k
18000,2014,toyota,tacoma,good,4,gas,automatic,rwd,pickup,tx,50k-100k
18000,2017,chevrolet,trax ls,good,5,other,automatic,fwd,SUV,ar,20k-50k
41000,2020,kia,telluride,excellent,6,gas,automatic,fwd,SUV,ca,20k-50k
14000,2013,volkswagen,passat tdi sel premiu,good,5,diesel,automatic,fwd,sedan,ca,20k-50k
20000,2013,ford,f-150,good,8,gas,automatic,4wd,truck,wi,100k-150k
15000,2013,subaru,outback 2.5i premium,good,4,gas,automatic,4wd,wagon,ca,50k-100k
18000,2006,ford,pinto,good,5,electric,automatic,4wd,SUV,md,500k+
36000,2015,ford,transit,good,6,gas,automatic,rwd,van,ca,50k-100k
6000,2005,ram,1500,good,8,gas,automatic,4wd,pickup,il,150k-200k
47000,2014,others,panamera gts sedan 4d,good,8,gas,automatic,4wd,sedan,oh,50k-100k
10000,2013,jeep,grand cherokee laredo,good,5,gas,automatic,4wd,sedan,tx,150k-200k
16000,2014,ford,f250 super duty,like new,8,gas,automatic,4wd,truck,tx,150k-200k
3000,2004,others,s60,good,5,gas,automatic,fwd,sedan,oh,150k-200k
18000,2010,mercedes-benz,benz s550,good,5,gas,automatic,4wd,sedan,ca,0-20k
18000,2009,others,solstice convertible 2d,good,5,other,other,rwd,convertible,co,20k-50k
22000,2019,ford,escape sel 4x4 gas suv auto,good,5,gas,automatic,4wd,SUV,id,20k-50k
8000,2009,honda,cr-v ex,good,4,gas,automatic,4wd,SUV,nc,150k-200k
18000,2005,ford,focus,good,4,gas,automatic,fwd,sedan,ct,50k-100k
18000,2001,subaru,outback,good,4,gas,automatic,4wd,SUV,az,200k-300k
7000,2010,chevrolet,traverse,good,5,gas,automatic,fwd,other,mi,0-20k
8000,2014,others,3 skyactiv,excellent,4,gas,automatic,fwd,sedan,pa,100k-150k
39000,2020,others,model 3 standard range,good,5,electric,other,4wd,sedan,fl,0-20k
4000,2010,ford,explorer,good,6,gas,automatic,4wd,sedan,ny,100k-150k
11000,2015,chevrolet,equinox,good,4,gas,automatic,fwd,SUV,ga,100k-150k
21000,2014,mercedes-benz,e350 sport 4matic,good,5,gas,automatic,4wd,sedan,il,50k-100k
9000,2008,ford,f150,good,8,gas,automatic,4wd,sedan,pa,150k-200k
20000,2007,gmc,yukon xl slt suv,excellent,8,gas,automatic,4wd,SUV,or,50k-100k
8000,2010,toyota,prius,excellent,5,hybrid,automatic,fwd,hatchback,mi,100k-150k
28000,2001,chevrolet,corvette,like new,8,gas,automatic,rwd,convertible,ca,20k-50k
6000,2008,chevrolet,malibu,excellent,5,gas,automatic,4wd,sedan,ca,150k-200k
18000,1993,gmc,sierra dually turbo,good,8,diesel,automatic,4wd,truck,fl,200k-300k
16000,2010,dodge,challenger,excellent,6,gas,automatic,rwd,coupe,ny,20k-50k
24000,2019,jeep,renegade latitude,good,4,gas,automatic,4wd,SUV,mt,0-20k
26000,2016,lexus,rc 300,good,6,gas,automatic,4wd,coupe,ia,50k-100k
27000,2008,chevrolet,silverado 2500hd,good,8,gas,automatic,4wd,truck,wa,50k-100k
19000,2016,others,enclave leather sport,good,5,other,other,fwd,other,ia,50k-100k
18000,2017,nissan,nv200 cargo van,good,4,gas,automatic,fwd,mini-van,va,20k-50k
4000,2005,honda,accord,good,5,gas,automatic,fwd,sedan,or,200k-300k
8000,2013,toyota,corolla,good,5,gas,automatic,4wd,sedan,pa,50k-100k
38000,2017,others,navigator select sport,good,6,gas,automatic,4wd,other,il,20k-50k
35000,2017,toyota,tacoma,good,6,gas,manual,4wd,truck,ak,100k-150k
18000,2000,ford,pickup,fair,8,gas,automatic,rwd,sedan,fl,300k-400k
18000,2018,chevrolet,silverado 1500 lt,good,6,gas,automatic,4wd,sedan,ca,20k-50k
8000,2005,ford,explorer limited,like new,8,gas,automatic,4wd,SUV,nc,100k-150k
42000,2014,ford,f-150,excellent,5,gas,automatic,4wd,pickup,or,100k-150k
5000,2008,chrysler,aspen,good,8,gas,automatic,4wd,SUV,mn,200k-300k
