region,price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_bins
others,32590,2015,ram,1500 crew cab lone star,good,8,gas,other,4wd,pickup,0-20k
others,19581,1994,ford,probe gt,excellent,6,gas,automatic,fwd,coupe,50k-100k
others,23990,2014,acura,mdx sh-awd sport utility,good,6,gas,other,4wd,SUV,50k-100k
ft myers / SW florida,21518,2005,ford,freestar,good,5,gas,automatic,4wd,sedan,50k-100k
others,16777,2016,ford,explorer police interceptor,like new,6,gas,automatic,4wd,SUV,50k-100k
long island,21518,2003,toyota,camry,excellent,4,gas,automatic,4wd,sedan,100k-150k
others,40990,2020,ram,1500 crew cab rebel pickup,good,8,gas,other,4wd,pickup,0-20k
others,38590,2018,audi,s5 premium plus sedan 4d,good,6,gas,automatic,4wd,sedan,20k-50k
spokane / coeur d'alene,19581,2007,others,vue,good,6,gas,automatic,fwd,SUV,100k-150k
others,31990,2020,ram,promaster cargo 1500 cargo 136 wb,good,6,gas,automatic,fwd,van,20k-50k
others,19995,2016,honda,pilot,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,27590,2016,lexus,nx 200t sport utility 4d,good,5,gas,automatic,4wd,hatchback,0-20k
others,21518,2008,chrysler,pt cruiser,excellent,4,gas,automatic,fwd,sedan,20k-50k
tucson,17590,2012,honda,cr-v ex sport utility 4d,good,5,gas,other,4wd,other,20k-50k
san diego,19581,2015,ford,focus s,excellent,4,gas,automatic,4wd,sedan,50k-100k
others,7950,2012,kia,soul +,good,4,gas,automatic,4wd,sedan,100k-150k
jacksonville,17499,2015,toyota,avalon xle premiumsedan,excellent,6,gas,automatic,4wd,sedan,20k-50k
others,19581,2009,kia,rondo,good,5,other,automatic,4wd,wagon,150k-200k
ft myers / SW florida,36900,2010,mercedes-benz,s550,excellent,8,gas,automatic,rwd,sedan,50k-100k
others,19581,2007,chrysler,pt cruiser,good,4,gas,automatic,fwd,hatchback,100k-150k
orlando,23999,2018,chrysler,300,excellent,5,gas,automatic,4wd,sedan,50k-100k
orlando,21518,2008,honda,accord,good,5,gas,automatic,4wd,sedan,100k-150k
others,39590,2018,bmw,4 series 430i convertible 2d,good,5,gas,other,rwd,convertible,0-20k
phoenix,19900,2007,gmc,topkick c5500,excellent,8,diesel,automatic,rwd,truck,150k-200k
others,19581,2018,ford,edge sel,good,5,gas,automatic,4wd,sedan,50k-100k
others,7998,2013,subaru,forester,good,5,gas,manual,4wd,wagon,100k-150k
milwaukee,19581,1997,others,town car,like new,8,gas,automatic,rwd,sedan,200k-300k
others,21518,2018,ram,2500 4x4 cummins diesel,excellent,6,diesel,automatic,4wd,truck,50k-100k
others,38525,2018,jeep,grand cherokee,excellent,5,gas,automatic,4wd,SUV,20k-50k
los angeles,27990,2019,kia,sorento ex sport utility 4d,good,6,gas,other,fwd,other,20k-50k
new york city,38995,2016,mercedes-benz,s-class,good,5,gas,automatic,4wd,sedan,50k-100k
others,24995,2010,chevrolet,silverado 2500hd,good,5,gas,automatic,4wd,other,100k-150k
las vegas,25000,2009,ford,f350 super duty,excellent,8,other,automatic,4wd,sedan,50k-100k
reno / tahoe,21518,2001,ford,escape,good,5,gas,automatic,4wd,sedan,100k-150k
others,19581,2004,chevrolet,monte carlo ss,fair,6,gas,automatic,fwd,coupe,200k-300k
new york city,23590,2016,hyundai,genesis coupe 3.8 2d,good,6,gas,other,rwd,coupe,20k-50k
others,9997,2005,toyota,tundra platinum,excellent,8,gas,automatic,4wd,SUV,100k-150k
seattle-tacoma,19581,1979,chevrolet,silverado,fair,8,gas,automatic,rwd,pickup,150k-200k
others,19581,2017,ram,2500,good,5,gas,automatic,4wd,pickup,50k-100k
north jersey,12500,2013,honda,cr-v,good,4,gas,automatic,4wd,SUV,100k-150k
others,21518,2012,others,verano,like new,4,gas,automatic,fwd,sedan,150k-200k
others,19581,1989,gmc,sierra 1500,fair,6,gas,automatic,4wd,truck,200k-300k
others,9990,2012,jeep,liberty,good,5,gas,automatic,4wd,SUV,100k-150k
others,12995,2015,dodge,grand caravan,good,6,gas,automatic,fwd,van,50k-100k
others,21518,2014,ford,hyndai accent,excellent,4,gas,automatic,fwd,hatchback,150k-200k
others,7900,2003,ford,explorer limited,good,8,gas,automatic,4wd,sedan,100k-150k
austin,32900,2012,ram,4500 crew cab 4x4,good,6,diesel,automatic,4wd,pickup,50k-100k
others,8100,2013,ford,fusion titanium hybrid,excellent,4,hybrid,automatic,4wd,sedan,100k-150k
others,34995,2015,ford,f-250 sd,good,5,gas,automatic,4wd,other,100k-150k
others,19581,2008,chevrolet,impala lt,like new,5,gas,automatic,4wd,sedan,100k-150k
others,19581,2017,chevrolet,impala,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,34590,2017,toyota,tacoma access cab trd,good,6,gas,other,4wd,pickup,20k-50k
others,7490,2014,chevrolet,cruze ls,excellent,4,gas,automatic,fwd,sedan,50k-100k
others,26590,2014,lexus,is 350 sedan 4d,good,6,gas,other,rwd,sedan,20k-50k
reno / tahoe,41488,2016,ram,2500 power wagon,good,8,gas,automatic,4wd,wagon,100k-150k
others,9900,2013,ford,e450 wheelchair van,good,10,gas,automatic,rwd,bus,100k-150k
others,19581,2017,ram,2500,good,6,diesel,automatic,4wd,truck,20k-50k
columbus,10900,2009,toyota,highlander limited,excellent,6,gas,automatic,fwd,SUV,100k-150k
pittsburgh,24999,2015,others,q50s,like new,6,gas,automatic,4wd,sedan,20k-50k
others,21518,1988,gmc,gmt-400,good,5,gas,manual,4wd,pickup,200k-300k
others,19581,2013,ford,kenworth t800,excellent,5,diesel,manual,4wd,sedan,400k-500k
SF bay area,21518,1985,others,x1/9,fair,4,gas,manual,rwd,convertible,50k-100k
baltimore,21518,2013,ford,fusion,good,4,gas,automatic,fwd,sedan,100k-150k
others,22590,2018,others,cx-5 sport suv 4d,good,5,other,other,fwd,other,0-20k
others,19581,2019,ford,ranger,good,5,gas,automatic,4wd,truck,20k-50k
others,21518,2003,acura,mdx,good,6,gas,automatic,4wd,SUV,200k-300k
others,40990,2018,jeep,wrangler unlimited all new,good,6,gas,other,4wd,SUV,20k-50k
others,45990,2014,chevrolet,corvette stingray z51,good,8,gas,other,rwd,convertible,0-20k
san diego,19581,2016,ford,f-250,like new,8,gas,automatic,4wd,truck,20k-50k
others,30590,2019,others,countryman cooper se all4,good,5,gas,automatic,4wd,hatchback,20k-50k
boston,17780,2007,others,solstice,good,4,gas,automatic,rwd,convertible,0-20k
others,16590,2013,others,mkz sedan 4d,good,5,gas,other,fwd,sedan,50k-100k
others,21518,2011,chevrolet,cruze,good,4,gas,automatic,fwd,sedan,100k-150k
others,30590,2019,ford,ranger supercrew xlt pickup,good,5,gas,other,4wd,pickup,20k-50k
others,17995,2016,ford,edge,like new,6,gas,automatic,fwd,SUV,20k-50k
others,24600,2019,chevrolet,traverse lt,like new,6,gas,automatic,4wd,SUV,0-20k
others,19581,2015,dodge,grand caravan,good,5,gas,automatic,4wd,sedan,100k-150k
"washington, DC",15990,2015,ford,c-max energi sel wagon 4d,good,5,gas,other,fwd,wagon,20k-50k
others,19581,2015,ford,expedition l,good,6,gas,automatic,rwd,SUV,20k-50k
others,16990,2015,honda,accord ex-l coupe,excellent,4,gas,automatic,fwd,coupe,20k-50k
baltimore,30590,2018,others,mkx reserve sport,good,6,gas,other,fwd,SUV,20k-50k
others,24990,2014,others,fuso fe,good,4,diesel,automatic,rwd,truck,100k-150k
others,14590,2012,bmw,1 series 128i coupe 2d,good,5,other,other,4wd,coupe,50k-100k
tampa bay area,21518,2003,ford,X type 4 door sedan,excellent,6,gas,automatic,4wd,sedan,150k-200k
others,38995,2014,ford,f250 super duty crew cab,good,8,diesel,automatic,4wd,pickup,200k-300k
others,19581,2018,ford,f-150 lariat,excellent,6,gas,automatic,4wd,truck,50k-100k
others,23995,2018,others,6 grand touring,excellent,4,gas,automatic,fwd,sedan,20k-50k
others,18950,2015,ram,2500 4x4,good,8,gas,automatic,4wd,truck,100k-150k
others,32000,2017,ford,Eagle Custom,excellent,5,gas,other,4wd,sedan,0-20k
others,42590,2020,others,enclave premium sport,good,6,gas,other,4wd,SUV,0-20k
SF bay area,21518,2010,ford,fusion hybrid,excellent,4,hybrid,automatic,fwd,sedan,100k-150k
central NJ,8995,2014,kia,cadenza,good,6,gas,automatic,fwd,sedan,100k-150k
others,28500,1966,ford,mustang,good,5,gas,manual,4wd,sedan,20k-50k
others,11000,2003,jeep,wrangler,excellent,6,gas,manual,4wd,SUV,150k-200k
others,21518,2011,ford,Neissan juke,excellent,5,gas,manual,4wd,wagon,150k-200k
others,21518,2010,ford,escape xls,good,5,gas,other,4wd,other,150k-200k
others,19581,2019,ram,3500 tradesman hd 4x4 dually,good,5,diesel,automatic,4wd,other,50k-100k
rochester,8999,2009,ram,1500 slt,good,8,gas,automatic,4wd,sedan,150k-200k
rochester,21518,1997,toyota,4runner,good,5,gas,automatic,4wd,SUV,200k-300k
others,41590,2020,audi,a6 45 tfsi premium plus,good,5,gas,other,4wd,sedan,20k-50k
others,24895,2017,nissan,maxima,good,6,gas,automatic,fwd,sedan,20k-50k
portland,8988,2006,toyota,camry xle sedan 4d,good,5,gas,automatic,fwd,sedan,100k-150k
others,35995,2019,dodge,challenger r/t,like new,8,gas,automatic,rwd,coupe,20k-50k
others,18990,2020,chevrolet,trax ls sport utility,good,5,gas,other,fwd,hatchback,0-20k
others,37990,2020,acura,rdx sh-awd a-spec pkg,good,5,gas,other,4wd,other,20k-50k
rochester,18995,2012,chevrolet,express cargo van,good,8,other,automatic,rwd,van,50k-100k
others,16882,2015,bmw,x1 xdrive28i xdrive28i,excellent,4,gas,manual,4wd,SUV,50k-100k
las vegas,15636,2014,nissan,juke,excellent,4,gas,automatic,4wd,SUV,50k-100k
atlanta,22990,2017,others,envision premium i sport,good,5,gas,other,4wd,other,50k-100k
others,28988,2019,nissan,frontier,good,5,gas,automatic,4wd,sedan,20k-50k
others,14980,2007,lexus,rx350,excellent,6,gas,automatic,4wd,SUV,50k-100k
long island,19995,2008,ford,f-350,good,5,diesel,automatic,4wd,pickup,150k-200k
others,9995,2015,nissan,altima,excellent,5,gas,automatic,fwd,sedan,50k-100k
others,43990,2019,chevrolet,silverado 1500 double,good,8,gas,automatic,4wd,pickup,0-20k
others,19581,2005,ford,freestyle,good,5,gas,automatic,4wd,sedan,200k-300k
others,20495,2017,others,mkz/zephyr premiere,like new,8,gas,automatic,fwd,sedan,20k-50k
south jersey,21518,2006,others,g35,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,22590,2013,ford,f150 super cab xl pickup 4d,good,6,other,other,4wd,pickup,0-20k
south florida,21518,2008,toyota,rav4,good,5,gas,automatic,4wd,SUV,150k-200k
others,37419,2018,others,cayenne,good,6,gas,automatic,4wd,SUV,50k-100k
others,23990,2016,chevrolet,silverado 1500 regular,good,6,gas,other,4wd,pickup,20k-50k
others,7995,2007,acura,rdx,good,5,gas,other,4wd,sedan,150k-200k
SF bay area,22590,2019,others,cx-3 sport utility 4d,good,5,gas,other,4wd,hatchback,0-20k
others,30990,2017,toyota,tundra double cab sr,good,8,gas,other,4wd,pickup,20k-50k
others,21518,2010,jeep,liberty,good,6,gas,automatic,4wd,SUV,150k-200k
cincinnati,19581,2013,ford,escape,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,24990,2009,chevrolet,3500 lcf gas,good,8,gas,automatic,rwd,truck,50k-100k
others,22990,2016,cadillac,cts 2.0 luxury,good,5,gas,other,4wd,sedan,50k-100k
tucson,19581,2019,gmc,yukon,good,5,gas,automatic,4wd,SUV,20k-50k
albuquerque,24590,2017,chevrolet,silverado 1500 regular,good,6,gas,other,4wd,pickup,20k-50k
others,47990,2018,ford,f-350,good,5,diesel,automatic,4wd,pickup,50k-100k
others,19581,2004,gmc,yukon 2wd,fair,8,gas,automatic,rwd,SUV,150k-200k
others,21518,2005,ford,explorer,good,5,gas,automatic,4wd,sedan,100k-150k
others,17990,2019,chevrolet,trax lt sport utility,good,5,gas,automatic,fwd,hatchback,0-20k
milwaukee,21518,2006,ford,e-series cargo e-150,good,8,gas,automatic,4wd,van,50k-100k
detroit metro,19581,2003,ford,escape,excellent,6,gas,automatic,4wd,SUV,150k-200k
orange county,19581,2014,bmw,i3,good,5,electric,automatic,rwd,hatchback,50k-100k
ft myers / SW florida,18990,2012,ford,f-150 xlt automatic,good,5,gas,automatic,4wd,pickup,100k-150k
others,21518,2008,others,cx-9,good,6,gas,automatic,4wd,SUV,150k-200k
others,21518,2002,ford,Carrier,excellent,0,diesel,other,4wd,truck,0-20k
others,38995,2016,gmc,sierra 1500,good,8,gas,automatic,4wd,truck,50k-100k
others,12500,2015,ford,fusion,good,4,gas,automatic,4wd,sedan,50k-100k
others,10500,2010,mercedes-benz,benz,good,5,gas,automatic,4wd,sedan,100k-150k
others,19581,2013,ford,e-350sd,good,5,gas,automatic,rwd,sedan,150k-200k
others,32990,2011,chevrolet,silverado 3500hd,good,8,gas,automatic,rwd,sedan,20k-50k
others,28977,2008,ram,f-150,good,0,diesel,automatic,4wd,sedan,150k-200k
cleveland,14722,2011,volkswagen,touareg,good,5,diesel,automatic,4wd,SUV,100k-150k
tucson,19990,2018,chevrolet,equinox lt sport,good,5,other,other,fwd,other,20k-50k
others,27990,2011,mercedes-benz,cl-class cl 550,good,8,gas,automatic,4wd,coupe,50k-100k
minneapolis / st paul,19581,2005,subaru,legacy outback,good,4,gas,automatic,4wd,wagon,150k-200k
others,20499,2014,ford,mustang,good,6,gas,automatic,rwd,convertible,20k-50k
reno / tahoe,8500,2007,lexus,is 350,excellent,6,gas,automatic,rwd,sedan,200k-300k
new york city,21518,2006,mercedes-benz,clk350,excellent,6,gas,automatic,rwd,coupe,150k-200k
inland empire,39995,2016,ford,f-250 super duty 4x2 2dr re,good,5,gas,automatic,4wd,sedan,20k-50k
others,43590,2018,mercedes-benz,mercedes-amg,good,5,other,other,4wd,coupe,20k-50k
grand rapids,21518,2009,others,vue,good,5,gas,automatic,4wd,sedan,150k-200k
others,19998,2016,ford,explorer,good,5,gas,automatic,4wd,SUV,100k-150k
others,21518,2004,chevrolet,trailblazer,good,6,gas,automatic,rwd,SUV,200k-300k
others,14499,2017,ford,transit connect cargo,good,5,gas,automatic,fwd,sedan,100k-150k
others,21518,2006,dodge,dakota,good,8,gas,automatic,4wd,pickup,200k-300k
tampa bay area,21518,2003,ford,mustang,good,6,gas,automatic,fwd,convertible,100k-150k
others,19581,2018,ram,diesel cummins 3500,good,5,diesel,automatic,4wd,truck,20k-50k
others,18990,2019,others,outlander es sport,good,5,gas,other,4wd,SUV,20k-50k
others,21518,2020,ford,f150 lariat,good,5,gas,automatic,4wd,sedan,0-20k
others,21518,2004,nissan,maxima,good,5,gas,automatic,fwd,sedan,150k-200k
albuquerque,24999,2013,ram,1500,good,5,other,automatic,4wd,pickup,100k-150k
others,11995,2011,lexus,ls 460 l,excellent,8,gas,automatic,4wd,sedan,150k-200k
others,18995,2017,others,mkc,good,5,gas,other,4wd,sedan,50k-100k
north jersey,24900,2020,chevrolet,equinox,like new,4,gas,automatic,4wd,SUV,0-20k
others,40000,2019,ford,f-150 xltcrew cab,excellent,6,gas,automatic,4wd,truck,20k-50k
dallas / fort worth,19581,2016,chevrolet,silverado 1500 work,good,6,gas,other,rwd,pickup,50k-100k
orlando,28000,2007,jeep,wrangler rubicon,excellent,6,gas,automatic,4wd,other,50k-100k
others,19581,2018,chevrolet,malibu lt sedan 4d,like new,4,gas,automatic,fwd,sedan,50k-100k
others,19995,2012,ford,f350 super duty,good,8,diesel,automatic,4wd,truck,150k-200k
ft myers / SW florida,13990,2013,hyundai,santa fe,good,5,gas,automatic,fwd,SUV,50k-100k
spokane / coeur d'alene,33999,2019,ford,explorer limited 4x4 gas,good,5,gas,automatic,4wd,SUV,20k-50k
others,37990,2020,others,continental sedan 4d,good,5,other,other,fwd,sedan,0-20k
others,19581,1997,chrysler,town & country,good,5,gas,automatic,4wd,sedan,50k-100k
others,35998,2018,chrysler,pacifica hybrid tourin,good,6,hybrid,automatic,fwd,sedan,0-20k
des moines,7500,2009,dodge,grand caravan,good,5,gas,automatic,4wd,sedan,100k-150k
reno / tahoe,24991,2012,others,f-150,good,5,gas,automatic,4wd,SUV,100k-150k
tucson,29900,2009,mercedes-benz,cls,excellent,5,gas,automatic,rwd,sedan,20k-50k
others,10500,2011,chevrolet,suburban z71,good,5,gas,automatic,4wd,sedan,200k-300k
reno / tahoe,12995,2008,gmc,acadia,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,27990,2011,mercedes-benz,cl-class cl 550,good,8,gas,automatic,4wd,coupe,50k-100k
new york city,21518,2000,mercedes-benz,benz m430,excellent,8,gas,automatic,4wd,SUV,50k-100k
others,29990,2017,jeep,wrangler unlimited sport,good,6,gas,other,4wd,SUV,20k-50k
sacramento,13988,2014,audi,a4,excellent,5,gas,automatic,rwd,sedan,50k-100k
others,19581,2020,gmc,lifted sierra 1500 at4 4x4,good,5,gas,automatic,4wd,truck,0-20k
others,21518,2002,toyota,rav 4,excellent,5,gas,other,fwd,sedan,150k-200k
others,19581,2000,gmc,yukon sle,good,5,gas,automatic,4wd,sedan,150k-200k
others,7800,2017,toyota,yaris hatchback,good,4,gas,automatic,fwd,hatchback,20k-50k
others,12995,2011,toyota,highlander base,excellent,6,gas,automatic,fwd,SUV,100k-150k
cleveland,12500,1980,ford,International Scout Traveler,good,5,gas,automatic,4wd,sedan,50k-100k
others,11990,2007,honda,civic si,good,5,gas,manual,fwd,sedan,100k-150k
new york city,13295,2018,others,outlander sport,good,5,gas,automatic,fwd,SUV,20k-50k
south jersey,21518,2011,others,town car signature limit,excellent,8,other,automatic,rwd,sedan,300k-400k
central NJ,14900,2005,mercedes-benz,benz slk 350,excellent,6,gas,automatic,rwd,convertible,50k-100k
others,19581,1992,ford,madza b2200,fair,4,gas,manual,rwd,pickup,300k-400k
others,24737,2019,jeep,cherokee,excellent,6,gas,automatic,4wd,SUV,20k-50k
others,7950,2011,subaru,forester 2.5i premium,excellent,4,gas,automatic,4wd,SUV,100k-150k
others,21518,2012,ford,fusion sel,good,4,gas,automatic,fwd,sedan,150k-200k
cleveland,19581,2001,others,century,good,5,gas,automatic,4wd,sedan,100k-150k
others,20995,2010,chevrolet,silverado 1500,good,5,gas,automatic,4wd,truck,50k-100k
others,16450,2014,nissan,murano,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,7995,2011,chevrolet,traverse,excellent,5,gas,automatic,4wd,sedan,150k-200k
others,27950,2016,ford,f-250 xl regular cab,like new,8,gas,automatic,rwd,sedan,100k-150k
others,21518,2000,honda,accord,good,5,gas,automatic,fwd,sedan,100k-150k
others,21518,2007,honda,pilot,good,6,gas,automatic,4wd,SUV,150k-200k
others,9800,2011,gmc,yukon slt,good,8,gas,automatic,4wd,SUV,200k-300k
others,19581,2007,chevrolet,silverado 1500,good,8,gas,automatic,rwd,truck,100k-150k
others,18900,2014,chevrolet,silverado z71,good,5,gas,automatic,4wd,sedan,200k-300k
others,14995,2005,nissan,titan,like new,8,gas,automatic,4wd,truck,50k-100k
atlanta,19581,2007,gmc,yukon,good,5,gas,automatic,4wd,sedan,200k-300k
others,19581,1977,ford,77 MG,good,5,gas,manual,4wd,sedan,20k-50k
others,10500,1999,jeep,wrangler 4x4,good,4,gas,manual,4wd,sedan,100k-150k
others,19581,2018,ford,f-150 platinum,excellent,6,gas,automatic,4wd,truck,50k-100k
seattle-tacoma,21518,2001,mercedes-benz,benz ml320,excellent,6,gas,automatic,fwd,SUV,200k-300k
others,9000,1990,ford,f-150,excellent,6,gas,automatic,rwd,truck,0-20k
others,18990,2017,others,outlander sport sel,good,5,other,other,4wd,hatchback,20k-50k
denver,21518,2005,chevrolet,malibu,good,6,gas,automatic,fwd,sedan,150k-200k
others,12900,2010,ram,1500,good,8,gas,automatic,4wd,sedan,150k-200k
others,9000,2004,chevrolet,colorado,excellent,5,gas,automatic,4wd,SUV,100k-150k
"st louis, MO",17995,2014,bmw,x3,good,4,gas,automatic,4wd,SUV,50k-100k
others,19581,1998,mercedes-benz,ml 320,good,6,gas,automatic,4wd,sedan,200k-300k
others,9600,2002,toyota,tacoma,good,6,gas,automatic,4wd,sedan,150k-200k
others,26990,2017,others,qx60 3.5 sport utility,good,6,gas,automatic,4wd,SUV,20k-50k
others,10000,2005,ford,f150 fx4 supercrew 4x4,good,8,gas,automatic,4wd,pickup,150k-200k
others,21900,2014,chevrolet,silverado lt 4x4,excellent,8,gas,automatic,4wd,truck,100k-150k
others,33995,2018,chrysler,pacifica lx wheelchair van fr conversions - manual fold out ramp rear loading conversion,good,6,gas,automatic,fwd,van,20k-50k
others,21518,2011,ford,500,good,8,gas,automatic,4wd,pickup,0-20k
spokane / coeur d'alene,7990,2013,ford,escape,good,5,gas,automatic,fwd,SUV,100k-150k
north jersey,19581,2003,others,grand marquis,good,8,gas,automatic,rwd,sedan,100k-150k
others,21518,2021,jeep,wrangler unlimited rubicon,good,5,gas,automatic,4wd,SUV,0-20k
rochester,41988,2017,chevrolet,suburban,like new,8,gas,automatic,4wd,SUV,50k-100k
others,8500,2012,chevrolet,colorado n work truck,excellent,4,gas,automatic,rwd,pickup,100k-150k
inland empire,25000,2006,chevrolet,silverado 2500hd,excellent,8,diesel,automatic,4wd,pickup,200k-300k
others,9695,2014,nissan,rogue,good,5,gas,automatic,4wd,SUV,100k-150k
minneapolis / st paul,19581,2002,honda,civic,excellent,4,gas,automatic,fwd,sedan,100k-150k
new york city,21518,2011,honda,civic,good,4,gas,automatic,fwd,sedan,50k-100k
others,25590,2012,gmc,yukon denali sport utility,good,8,other,other,4wd,other,50k-100k
raleigh / durham / CH,19581,2014,ford,fusion,good,5,gas,automatic,4wd,sedan,50k-100k
others,19581,2019,gmc,sierra 2500hd,good,8,diesel,automatic,4wd,sedan,20k-50k
others,15900,2007,chevrolet,silverado,like new,5,gas,automatic,4wd,sedan,100k-150k
others,32991,2017,bmw,4 series,good,4,gas,automatic,4wd,sedan,20k-50k
others,21518,2010,dodge,avenger,good,5,gas,automatic,fwd,sedan,150k-200k
others,21518,2008,nissan,altima,excellent,4,hybrid,automatic,fwd,sedan,100k-150k
oklahoma city,14831,2014,volkswagen,passat,good,5,gas,automatic,4wd,sedan,50k-100k
others,11984,2015,chevrolet,cruze,good,4,gas,automatic,fwd,sedan,50k-100k
others,19581,2021,others,outlander sport se,excellent,4,gas,automatic,4wd,SUV,0-20k
others,16900,2008,jeep,wrangler rubicon,excellent,6,gas,automatic,4wd,offroad,100k-150k
others,21518,2011,chevrolet,equinox,good,5,gas,automatic,4wd,sedan,100k-150k
orange county,7900,2008,bmw,128i convertible,excellent,6,gas,automatic,rwd,convertible,100k-150k
south jersey,26495,2019,mercedes-benz,a-class,good,5,gas,automatic,4wd,sedan,0-20k
others,21023,2018,nissan,rogue sl awd! awd,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,12900,2007,cadillac,escalade,excellent,8,gas,automatic,rwd,SUV,100k-150k
others,14750,2013,audi,a4 2.0t quattro,excellent,5,gas,automatic,4wd,sedan,50k-100k
austin,31995,2014,chevrolet,silverado,good,5,other,automatic,4wd,pickup,100k-150k
others,21518,2011,honda,odyssey,good,6,gas,automatic,fwd,van,150k-200k
long island,17990,2015,hyundai,santa fe sport,excellent,5,gas,automatic,fwd,SUV,20k-50k
los angeles,23990,2012,gmc,sierra 1500 crew cab sle,good,5,other,other,4wd,pickup,50k-100k
colorado springs,25590,2016,mercedes-benz,c-class,good,4,gas,automatic,4wd,sedan,20k-50k
others,22590,2011,subaru,impreza wrx limited sedan,good,5,gas,other,4wd,sedan,50k-100k
others,8950,2014,ford,Scion xD,good,4,gas,automatic,fwd,other,100k-150k
others,18990,2018,others,eclipse cross es,good,5,other,other,4wd,hatchback,0-20k
denver,17991,2016,nissan,altima 4dr sdn i4 2.5 sv,good,4,gas,automatic,fwd,sedan,20k-50k
others,43990,2019,ram,1500 crew cab big horn,good,8,gas,other,4wd,pickup,0-20k
others,48999,2020,ford,f-150,good,8,gas,automatic,4wd,truck,0-20k
milwaukee,21518,2015,chevrolet,malibu,good,5,gas,automatic,4wd,other,0-20k
others,25990,2018,others,mkz reserve sedan 4d,good,5,gas,automatic,fwd,sedan,0-20k
stockton,19581,2020,nissan,versa s sedan 4d,like new,4,gas,automatic,fwd,sedan,20k-50k
others,36885,2015,chevrolet,3500,good,5,diesel,automatic,4wd,sedan,100k-150k
others,19581,2000,others,century,fair,6,gas,automatic,fwd,sedan,200k-300k
others,17990,2013,honda,crosstour ex-l sport,good,5,other,other,4wd,hatchback,50k-100k
others,19581,2017,hyundai,sonata,good,5,gas,automatic,fwd,sedan,20k-50k
others,21518,2020,gmc,sierra 1500 elevation,good,8,gas,automatic,4wd,pickup,20k-50k
"kansas city, MO",21518,2009,ford,escape,good,4,gas,automatic,fwd,SUV,200k-300k
others,21518,2008,toyota,scion xd,excellent,4,gas,manual,fwd,sedan,150k-200k
tampa bay area,15998,2011,chevrolet,silverado lt 4x4,like new,8,gas,automatic,4wd,truck,100k-150k
others,21518,2007,jeep,commander,good,5,gas,automatic,4wd,sedan,100k-150k
others,9990,2011,chevrolet,malibu,good,4,gas,automatic,fwd,sedan,50k-100k
south jersey,21518,2013,dodge,journey se 4dr suv,like new,6,gas,automatic,4wd,sedan,50k-100k
sacramento,21518,2004,subaru,outback 2.5i limited,excellent,4,gas,automatic,4wd,wagon,100k-150k
others,14900,2015,acura,rdx,good,6,gas,automatic,4wd,SUV,50k-100k
sacramento,15990,2016,jeep,patriot sport suv 4d,good,5,other,other,4wd,other,50k-100k
others,21518,2003,ford,econoline cargo van,good,8,gas,automatic,4wd,mini-van,150k-200k
